Issue code,Issue name,Market type,Company category,Close,Change,%Change,Open,High,Low,Trading volume,Trading value,Market cap.,No.of listed shares
"027360","AJU IB INVESTMENT","KOSDAQ","Venture business","8780","-590","-6.30","9620","10100","8430","10277647","94446647090","1063656664680","121145406"
"139990","AJUSTEEL","KOSPI",,"2990","-50","-1.64","3040","3055","2990","15374","46325890","115878687860","38755414"
"161000","AK CHEMICAL","KOSPI",,"15200","690","4.76","15120","15670","14520","3613349","54731436430","739460376800","48648709"
"006840","AK Holdings","KOSPI",,"8020","-340","-4.07","8460","8460","7950","9619","78425220","106245439220","13247561"
"354320","ALMAC","KOSDAQ","New growth company","54500","-1400","-2.50","56100","59000","53100","202121","11213888600","348330264500","6391381"
"297570","ALOYS","KOSDAQ","Venture business","1614","35","2.22","1580","1630","1565","326233","522977450","55878645852","34621218"
"172670","ALT","KOSDAQ","Venture business","10710","-860","-7.43","11590","11700","10550","63696","703168670","95964373890","8960259"
"459550","ALT","KOSDAQ","Enterprise of middle standing","2710","-135","-4.75","2850","2915","2605","220759","604627658","67933653990","25067769"
"001780","ALUKO","KOSPI",,"2385","-30","-1.24","2470","2560","2345","12232005","29840423963","230939864820","96830132"
"475580","ALUX","KOSDAQ","Venture business","12700","-1070","-7.77","13910","13930","12650","658830","8669389295","173036230000","13624900"
"074430","AMINOLOGICS","KOSDAQ","Enterprise of middle standing","1397","-101","-6.74","1519","1519","1386","306398","441369915","122694101068","87826844"
"125210","AMOGREENTECH","KOSDAQ","Blue chip company","7840","-180","-2.24","8000","8200","7680","158454","1257104725","129334833600","16496790"
"090430","AMOREPACIFIC","KOSPI",,"134300","-8300","-5.82","142200","144000","132800","195621","26745776450","7855577533700","58492759"
"002790","AMOREPACIFIC Holdings","KOSPI",,"27650","-1300","-4.49","28750","29450","27500","139238","3960196500","2114068677000","76458180"
"002795","AMOREPACIFIC Holdings(1P)","KOSPI",,"11660","-240","-2.02","11900","11930","11620","18393","214858755","75134358200","6443770"
